"hand" "bid" "type" "card_strengths"
"57" "56429" 98 1 405030108
"58" "5692J" 21 1 405080110
"59" "56JQK" 424 1 405101112
"60" "574A9" 442 1 406031308
"61" "57932" 957 1 406080201
"62" "57QJ2" 579 1 406111001
"63" "582J9" 627 1 407011008
"64" "58J6T" 452 1 407100509
"65" "58K24" 466 1 407120103
"66" "5927A" 621 1 408010613
"67" "5J7Q6" 270 1 410061105
"68" "5JA96" 702 1 410130805
"69" "5A683" 907 1 413050702
"70" "5AQ82" 340 1 413110701
"71" "62573" 772 1 501040602
"72" "629KJ" 416 1 501081210
"73" "638T9" 966 1 502070908
"74" "64QK7" 191 1 503111206
"75" "65K7A" 717 1 504120613
"76" "67594" 467 1 506040803
"77" "682A5" 728 1 507011304
"78" "693QA" 218 1 508021113
"79" "697KT" 524 1 508061209
"80" "6T3AK" 661 1 509021312
"81" "6T52Q" 657 1 509040111
"82" "6QA9T" 570 1 511130809
"83" "6K257" 228 1 512010406
"84" "6K4Q8" 849 1 512031107
"85" "6K8J7" 118 1 512071006
"86" "6A4T5" 165 1 513030904
"87" "7285A" 578 1 601070413
"88" "72T5K" 247 1 601090412
"89" "74329" 221 1 603020108
"90" "74T52" 637 1 603090401
"91" "74QT5" 852 1 603110904
"92" "7543T" 206 1 604030209
"93" "76853" 986 1 605070402
"94" "7698Q" 583 1 605080711
"95" "76TAK" 617 1 605091312
"96" "7862T" 753 1 607050109
"97" "7TK6Q" 886 1 609120511
"98" "7QA5J" 306 1 611130410
"99" "7K43J" 410 1 612030210
"100" "7K5QT" 978 1 612041109
"101" "7K8T5" 970 1 612070904
"102" "83A5K" 807 1 702130412
"103" "845J3" 59 1 703041002
"104" "84TAQ" 387 1 703091311
"105" "852J7" 253 1 704011006
"106" "85AQJ" 283 1 704131110
"107" "876K3" 607 1 706051202
"108" "879A6" 18 1 706081305
"109" "87Q5T" 749 1 706110409
"110" "89247" 883 1 708010306
"111" "89A34" 955 1 708130203
"112" "8T39A" 495 1 709020813
"113" "8TQ27" 4 1 709110106
"114" "8TQJ3" 641 1 709111002
"115" "8JT75" 405 1 710090604
"116" "8Q594" 90 1 711040803
"117" "8QT67" 711 1 711090506
"118" "8K3QA" 75 1 712021113
"119" "8A45T" 948 1 713030409
"120" "8AQ74" 213 1 713110603
"121" "924QK" 288 1 801031112
"122" "92QJ8" 397 1 801111007
"123" "936JQ" 483 1 802051011
"124" "94JQK" 988 1 803101112
"125" "94Q68" 129 1 803110507
"126" "9586T" 844 1 804070509
"127" "9628A" 81 1 805010713
"128" "96AJ3" 398 1 805131002
"129" "97Q6T" 803 1 806110509
"130" "97KJ6" 610 1 806121005
"131" "9J53T" 175 1 810040209
"132" "9QAK5" 923 1 811131204
"133" "9K7Q2" 211 1 812061101
"134" "9KT7Q" 511 1 812090611
"135" "T2AJ4" 409 1 901131003
"136" "T3598" 30 1 902040807
"137" "T3JK8" 301 1 902101207
"138" "T4Q59" 382 1 903110408
"139" "T4A8J" 858 1 903130710
"140" "T5K8A" 670 1 904120713
"141" "T6JK5" 969 1 905101204
"142" "T9432" 426 1 908030201
"143" "T9A26" 262 1 908130105
"144" "TJ6AQ" 735 1 910051311
"145" "TJ783" 39 1 910060702
"146" "TK659" 824 1 912050408
"147" "TK852" 104 1 912070401
"148" "TK9A8" 485 1 912081307
"149" "TA376" 480 1 913020605
"150" "TA39K" 461 1 913020812
"151" "TA596" 635 1 913040805
"152" "J2783" 723 1 1001060702
"153" "J3869" 82 1 1002070508
"154" "J4389" 979 1 1003020708
"155" "J4532" 41 1 1003040201
"156" "J4596" 867 1 1003040805
"157" "J4Q9A" 323 1 1003110813
"158" "J5693" 589 1 1004050802
"159" "J5TQ9" 660 1 1004091108
"160" "J5Q2K" 322 1 1004110112
"161" "J65KA" 764 1 1005041213
"162" "J6879" 117 1 1005070608
"163" "J742T" 799 1 1006030109
"164" "J826A" 863 1 1007010513
"165" "J8673" 103 1 1007050602
"166" "J935A" 431 1 1008020413
"167" "J9QK5" 292 1 1008111204
"168" "JT5K8" 929 1 1009041207
"169" "JT8A6" 184 1 1009071305
"170" "JT938" 981 1 1009080207
"171" "JAK59" 784 1 1013120408
"172" "Q3JT5" 823 1 1102100904
"173" "Q4257" 989 1 1103010406
"174" "Q5982" 604 1 1104080701
"175" "Q6579" 126 1 1105040608
"176" "Q82K5" 691 1 1107011204
"177" "Q8TK9" 808 1 1107091208
"178" "Q96T2" 699 1 1108050901
"179" "QT3KA" 200 1 1109021213
"180" "QK45J" 540 1 1112030410
"181" "QA79K" 526 1 1113060812
"182" "QAT94" 132 1 1113090803
"183" "K2TQA" 774 1 1201091113
"184" "K3T65" 113 1 1202090504
"185" "K3JQA" 2 1 1202101113
"186" "K6352" 487 1 1205020401
"187" "K63J9" 164 1 1205021008
"188" "K8239" 238 1 1207010208
"189" "K8267" 884 1 1207010506
"190" "K87Q5" 180 1 1207061104
"191" "K94J8" 769 1 1208031007
"192" "K96T8" 548 1 1208050907
"193" "KJ635" 532 1 1210050204
"194" "KJ964" 760 1 1210080503
"195" "KQ937" 697 1 1211080206
"196" "KA64T" 395 1 1213050309
"197" "A23J7" 705 1 1301021006
"198" "A28T6" 187 1 1301070905
"199" "A2T36" 833 1 1301090205
"200" "A3629" 153 1 1302050108
"201" "A3647" 625 1 1302050306
"202" "A3954" 244 1 1302080403
"203" "A3T5K" 891 1 1302090412
"204" "A4QJ6" 45 1 1303111005
"205" "A6834" 273 1 1305070203
"206" "A752Q" 672 1 1306040111
"207" "A7853" 16 1 1306070402
"208" "A7T95" 465 1 1306090804
"209" "A85T2" 80 1 1307040901
"210" "A8T24" 475 1 1307090103
"211" "A9Q74" 155 1 1308110603
"212" "A9K63" 34 1 1308120502
"213" "AT6J3" 454 1 1309051002
"214" "AJ28T" 349 1 1310010709
"215" "AJQ87" 38 1 1310110706
"216" "AQ763" 595 1 1311060502
"217" "AK48T" 243 1 1312030709
"218" "2334Q" 439 2 102020311
"219" "253KK" 676 2 104021212
"220" "26AKK" 474 2 105131212
"221" "2779T" 566 2 106060809
"222" "277KJ" 55 2 106061210
"223" "27873" 69 2 106070602
"224" "27TQT" 507 2 106091109
"225" "2T6T5" 522 2 109050904
"226" "2TQT5" 765 2 109110904
"227" "2Q997" 289 2 111080806
"228" "2K2J3" 179 2 112011002
"229" "2K337" 977 2 112020206
"230" "2K6KJ" 859 2 112051210
"231" "2A52J" 816 2 113040110
"232" "2A8AT" 847 2 113071309
"233" "335J2" 450 2 202041001
"234" "33J9K" 846 2 202100812
"235" "3664T" 940 2 205050309
"236" "3667J" 102 2 205050610
"237" "36T6K" 294 2 205090512
"238" "36J68" 148 2 205100507
"239" "36KK9" 457 2 205121208
"240" "3722T" 391 2 206010109
"241" "376A7" 781 2 206051306
"242" "37828" 279 2 206070107
"243" "3828J" 316 2 207010710
"244" "38696" 320 2 207050805
"245" "393J8" 827 2 208021007
"246" "398A8" 310 2 208071307
"247" "3T263" 756 2 209010502
"248" "3TK3J" 608 2 209120210
"249" "3J787" 359 2 210060706
"250" "3JJT6" 77 2 210100905
"251" "3JQ3A" 326 2 210110213
"252" "3Q5JJ" 350 2 211041010
"253" "3K43J" 181 2 212030210
"254" "3K566" 505 2 212040505
"255" "3K6QQ" 94 2 212051111
"256" "3KJQ3" 685 2 212101102
"257" "3KA22" 835 2 212130101
"258" "3AT43" 874 2 213090302
"259" "42877" 96 2 301070606
"260" "4299K" 193 2 301080812
"261" "42JJ9" 286 2 301101008
"262" "438K8" 133 2 302071207
"263" "443K6" 268 2 303021205
"264" "45226" 261 2 304010105
"265" "47762" 550 2 306060501
"266" "484A6" 716 2 307031305
"267" "48K45" 575 2 307120304
"268" "49T88" 541 2 308090707
"269" "4T493" 189 2 309030802
"270" "4T53T" 646 2 309040209
"271" "4Q4J9" 324 2 311031008
"272" "4Q82Q" 287 2 311070111
"273" "4QKJJ" 795 2 311121010
"274" "4QKKT" 603 2 311121209
"275" "4K559" 993 2 312040408
"276" "4A234" 572 2 313010203
"277" "52K9K" 980 2 401120812
"278" "532AA" 384 2 402011313
"279" "53T9T" 414 2 402090809
"280" "55K3T" 152 2 404120209
"281" "55A32" 471 2 404130201
"282" "56T58" 476 2 405090407
"283" "57549" 592 2 406040308
"284" "58289" 904 2 407010708
"285" "5865K" 615 2 407050412
"286" "58J8A" 341 2 407100713
"287" "5998Q" 992 2 408080711
"288" "5T45Q" 318 2 409030411
"289" "5T564" 967 2 409040503
"290" "5TQ8Q" 143 2 409110711
"291" "5J2T2" 949 2 410010901
"292" "5J6T5" 778 2 410050904
"293" "5K33T" 555 2 412020209
"294" "5K57J" 796 2 412040610
"295" "5A8JJ" 7 2 413071010
"296" "62A65" 963 2 501130504
"297" "632A3" 199 2 502011302
"298" "63328" 960 2 502020107
"299" "6368T" 27 2 502050709
"300" "65J62" 732 2 504100501
"301" "65J75" 761 2 504100604
"302" "66538" 896 2 505040207
"303" "67229" 790 2 506010108
"304" "6869Q" 611 2 507050811
"305" "68JK8" 109 2 507101207
"306" "6959K" 363 2 508040812
"307" "69JJ3" 893 2 508101002
"308" "69AK9" 567 2 508131208
"309" "6T252" 226 2 509010401
"310" "6TJ96" 820 2 509100805
"311" "6TA6Q" 871 2 509130511
"312" "6J737" 839 2 510060206
"313" "6J7KJ" 770 2 510061210
"314" "6JTQ6" 85 2 510091105
"315" "6QJ44" 544 2 511100303
"316" "6QJQ3" 873 2 511101102
"317" "6QJK6" 494 2 511101205
"318" "6A4TA" 254 2 513030913
"319" "6A65K" 197 2 513050412
"320" "6A8JA" 9 2 513071013
"321" "6AAK5" 903 2 513131204
"322" "733A8" 819 2 602021307
"323" "74T24" 1 2 603090103
"324" "74TTQ" 97 2 603090911
"325" "75882" 435 2 604070701
"326" "796J9" 776 2 608051008
"327" "7T78K" 364 2 609060712
"328" "7T837" 303 2 609070206
"329" "7TQ3T" 710 2 609110209
"330" "7JAJ2" 856 2 610131001
"331" "7Q247" 11 2 611010306
"332" "7QTT8" 300 2 611090907
"333" "82T58" 392 2 701090407
"334" "83869" 645 2 702070508
"335" "8486J" 768 2 703070510
"336" "84K3K" 629 2 703120212
"337" "868A9" 947 2 705071308
"338" "86A67" 675 2 705130506
"339" "87839" 23 2 706070208
"340" "87QJ7" 196 2 706111006
"341" "87KK5" 757 2 706121204
"342" "88J97" 800 2 707100806
"343" "88Q73" 251 2 707110602
"344" "8TJTK" 468 2 709100912
"345" "8J829" 860 2 710070108
"346" "8Q744" 998 2 711060303
"347" "8QQ2J" 838 2 711110110
"348" "8QAJJ" 497 2 711131010
"349" "8KQ86" 346 2 712110705
"350" "8KAKQ" 648 2 712131211
"351" "966J7" 802 2 805051006
"352" "96J56" 271 2 805100405
"353" "97AJA" 785 2 806131013
"354" "997AQ" 552 2 808061311
"355" "99J6K" 137 2 808100512
"356" "9J488" 557 2 810030707
"357" "9J533" 28 2 810040202
"358" "9QKAQ" 79 2 811121311
"359" "9A7TA" 843 2 813060913
"360" "9A972" 208 2 813080601
"361" "T2JQ2" 722 2 901101101
"362" "T3565" 582 2 902040504
"363" "T4322" 628 2 903020101
"364" "T4432" 46 2 903030201
"365" "T4TJQ" 106 2 903091011
"366" "T4JJ3" 185 2 903101002
"367" "T64T8" 897 2 905030907
"368" "T728T" 701 2 906010709
"369" "T8227" 885 2 907010106
"370" "T882J" 338 2 907070110
"371" "T8T5J" 147 2 907090410
"372" "T8KK5" 216 2 907121204
"373" "T977J" 516 2 908060610
"374" "TT5A8" 138 2 909041307
"375" "TT7KQ" 378 2 909061211
"376" "TJ277" 365 2 910010606
"377" "TKT2A" 368 2 912090113
"378" "TKKA8" 715 2 912121307
"379" "TA899" 656 2 913070808
"380" "TAQ99" 112 2 913110808
"381" "J25J4" 76 2 1001041003
"382" "J3T99" 622 2 1002090808
"383" "J4K7K" 712 2 1003120612
"384" "J57J2" 172 2 1004061001
"385" "J595K" 276 2 1004080412
"386" "J6225" 401 2 1005010104
"387" "J6335" 142 2 1005020204
"388" "J66T4" 928 2 1005050903
"389" "J77K4" 309 2 1006061203
"390" "J8277" 100 2 1007010606
"391" "J8JKQ" 6 2 1007101211
"392" "J9855" 284 2 1008070404
"393" "J98J3" 336 2 1008071002
"394" "J9K66" 12 2 1008120505
"395" "JT6T2" 545 2 1009050901
"396" "JT88A" 810 2 1009070713
"397" "JJ548" 272 2 1010040307
"398" "JJQ42" 857 2 1010110301
"399" "JJA95" 380 2 1010130804
"400" "JKJ63" 890 2 1012100502
"401" "JA46J" 798 2 1013030510
"402" "JA788" 459 2 1013060707
"403" "JAAQ9" 623 2 1013131108
"404" "Q2429" 453 2 1101030108
"405" "Q266J" 633 2 1101050510
"406" "Q3A44" 53 2 1102130303
"407" "Q5433" 486 2 1104030202
"408" "Q8Q3T" 63 2 1107110209
"409" "QT788" 939 2 1109060707
"410" "QT7Q9" 135 2 1109061108
"411" "QTAA9" 478 2 1109131308
"412" "QJ424" 114 2 1110030103
"413" "QJ557" 510 2 1110040406
"414" "QJ699" 307 2 1110050808
"415" "QJ886" 280 2 1110070705
"416" "QJT55" 329 2 1110090404
"417" "QQ4JT" 473 2 1111031009
"418" "QQJK7" 321 2 1111101206
"419" "QA4TA" 192 2 1113030913
"420" "QA86Q" 872 2 1113070511
"421" "QAA7T" 671 2 1113130609
"422" "K289K" 695 2 1201070812
"423" "K2K3T" 70 2 1201120209
"424" "K33J6" 662 2 1202021005
"425" "K3J37" 985 2 1202100206
"426" "K4824" 703 2 1203070103
"427" "K54K7" 348 2 1204031206
"428" "K5J45" 719 2 1204100304
"429" "K5J9K" 325 2 1204100812
"430" "K6778" 205 2 1205060607
"431" "K744Q" 237 2 1206030311
"432" "K84J4" 374 2 1207031003
"433" "K93JK" 463 2 1208021012
"434" "KJ54K" 88 2 1210040312
"435" "KJK3T" 698 2 1210120209
"436" "KQ52Q" 214 2 1211040111
"437" "KA3KQ" 937 2 1213021211
"438" "KA5TK" 600 2 1213040912
"439" "KAKJT" 709 2 1213121009
"440" "A355J" 430 2 1302040410
"441" "A3K38" 606 2 1302120207
"442" "A463A" 918 2 1303050213
"443" "A567A" 647 2 1304050613
"444" "A75QA" 234 2 1306041113
"445" "A7T78" 783 2 1306090607
"446" "A8298" 95 2 1307010807
"447" "A9K44" 666 2 1308120303
"448" "AT525" 479 2 1309040104
"449" "AJTKT" 249 2 1310091209
"450" "AA372" 763 2 1313020601
"451" "AA847" 655 2 1313070306
"452" "AAQJK" 477 2 1313111012
"453" "22335" 743 3 101020204
"454" "22383" 905 3 101020702
"455" "229AA" 975 3 101081313
"456" "22T7T" 972 3 101090609
"457" "22AQQ" 959 3 101131111
"458" "23288" 693 3 102010707
"459" "244Q2" 446 3 103031101
"460" "24K24" 22 3 103120103
"461" "255TT" 429 3 104040909
"462" "26446" 613 3 105030305
"463" "28268" 469 3 107010507
"464" "282JJ" 345 3 107011010
"465" "288Q2" 870 3 107071101
"466" "299J2" 219 3 108081001
"467" "2TT62" 517 3 109090501
"468" "2JTT2" 146 3 110090901
"469" "2QJJQ" 333 3 111101011
"470" "2QQ2J" 107 3 111110110
"471" "32Q23" 298 3 201110102
"472" "33TAA" 99 3 202091313
"473" "33AAJ" 224 3 202131310
"474" "34838" 512 3 203070207
"475" "34J4J" 974 3 203100310
"476" "36436" 66 3 205030205
"477" "37837" 458 3 206070206
"478" "38484" 339 3 207030703
"479" "38873" 650 3 207070602
"480" "3939J" 573 3 208020810
"481" "3TT22" 379 3 209090101
"482" "3J322" 259 3 210020101
"483" "3JT3T" 203 3 210090209
"484" "3K3QK" 166 3 212021112
"485" "3A83A" 449 3 213070213
"486" "42J42" 558 3 301100301
"487" "43J34" 151 3 302100203
"488" "44737" 794 3 303060206
"489" "44QKQ" 201 3 303111211
"490" "47AA7" 730 3 306131306
"491" "49A49" 734 3 308130308
"492" "4T499" 750 3 309030808
"493" "4J4JK" 404 3 310031012
"494" "4J774" 421 3 310060603
"495" "4Q5Q4" 101 3 311041103
"496" "4A334" 3 3 313020203
"497" "5252Q" 169 3 401040111
"498" "52885" 10 3 401070704
"499" "53J5J" 371 3 402100410
"500" "55228" 880 3 404010107
"501" "5566T" 652 3 404050509
"502" "55Q99" 354 3 404110808
"503" "55K33" 383 3 404120202
"504" "58JJ8" 789 3 407101007
"505" "5T445" 263 3 409030304
"506" "5TT58" 971 3 409090407
"507" "5J454" 726 3 410030403
"508" "5J522" 462 3 410040101
"509" "5Q588" 853 3 411040707
"510" "5Q775" 586 3 411060604
"511" "5QQ53" 531 3 411110402
"512" "5A5AJ" 533 3 413041310
"513" "63326" 302 3 502020105
"514" "63622" 116 3 502050101
"515" "63673" 766 3 502050602
"516" "646K4" 706 3 503051203
"517" "65336" 183 3 504020205
"518" "6622J" 945 3 505010110
"519" "66955" 127 3 505080404
"520" "669KK" 727 3 505081212
"521" "66JTT" 498 3 505100909
"522" "69639" 355 3 508050208
"523" "696K9" 961 3 508051208
"524" "699J6" 285 3 508081005
"525" "6TT76" 982 3 509090605
"526" "6J644" 836 3 510050303
"527" "6J6QQ" 8 3 510051111
"528" "6JJ6A" 115 3 510100513
"529" "6K6KJ" 714 3 512051210
"530" "6AA6K" 580 3 513130512
"531" "72672" 946 3 601050601
"532" "75758" 297 3 604060407
"533" "75J57" 49 3 604100406
"534" "75Q5Q" 311 3 604110411
"535" "75K75" 687 3 604120604
"536" "76262" 130 3 605010501
"537" "76276" 422 3 605010605
"538" "767J6" 386 3 605061005
"539" "7733T" 160 3 606020209
"540" "77595" 256 3 606040804
"541" "77JJ4" 433 3 606101003
"542" "7T47T" 278 3 609030609
"543" "7JQJQ" 877 3 610111011
"544" "7A97A" 235 3 613080613
"545" "7AJA7" 767 3 613101306
"546" "82J28" 13 3 701100107
"547" "84824" 403 3 703070103
"548" "848JJ" 553 3 703071010
"549" "85599" 159 3 704040808
"550" "868KK" 257 3 705071212
"551" "8833T" 43 3 707020209
"552" "88636" 954 3 707050205
"553" "88TQT" 551 3 707091109
"554" "88JJ2" 492 3 707101001
"555" "89A8A" 47 3 708130713
"556" "8JAA8" 658 3 710131307
"557" "8A228" 40 3 713010107
"558" "8A8A3" 246 3 713071302
"559" "92AA9" 111 3 801131308
"560" "94J9J" 916 3 803100810
"561" "95TT5" 351 3 804090904
"562" "96869" 83 3 805070508
"563" "97AA9" 530 3 806131308
"564" "98894" 24 3 807070803
"565" "9922A" 881 3 808010113
"566" "99353" 158 3 808020402
"567" "995TT" 733 3 808040909
"568" "9J9QJ" 677 3 810081110
"569" "9JT9T" 577 3 810090809
"570" "9Q66Q" 17 3 811050511
"571" "9QQ97" 597 3 811110806
"572" "9KK97" 560 3 812120806
"573" "9KK9T" 654 3 812120809
"574" "9ATAT" 537 3 813091309
"575" "T22JJ" 500 3 901011010
"576" "T3T44" 855 3 902090303
"577" "T577T" 390 3 904060609
"578" "T68T6" 817 3 905070905
"579" "T779T" 631 3 906060809
"580" "T77QT" 108 3 906061109
"581" "TT5AA" 36 3 909041313
"582" "TT996" 563 3 909080805
"583" "TT9K9" 334 3 909081208
"584" "TJ44J" 832 3 910030310
"585" "TJT77" 663 3 910090606
"586" "TJJT9" 773 3 910100908
"587" "TQJQT" 434 3 911101109
"588" "J3773" 653 3 1002060602
"589" "J4J49" 976 3 1003100308
"590" "J6JQQ" 678 3 1005101111
"591" "J8844" 854 3 1007070303
"592" "JJ393" 632 3 1010020802
"593" "JAA3J" 741 3 1013130210
"594" "Q2KQK" 950 3 1101121112
"595" "Q72Q2" 163 3 1106011101
"596" "Q72Q7" 242 3 1106011106
"597" "QT33T" 509 3 1109020209
"598" "QJQ4J" 862 3 1110110310
"599" "QJQ77" 932 3 1110110606
"600" "QQ339" 388 3 1111020208
"601" "QQ676" 922 3 1111050605
"602" "QQ877" 308 3 1111070606
"603" "QQJ44" 825 3 1111100303
"604" "QK7QK" 720 3 1112061112
"605" "QA4A4" 683 3 1113031303
"606" "K2266" 528 3 1201010505
"607" "K228K" 898 3 1201010712
"608" "K2KJ2" 482 3 1201121001
"609" "K33KT" 376 3 1202021209
"610" "K363K" 618 3 1202050212
"611" "K5566" 343 3 1204040505
"612" "K5KJ5" 296 3 1204121004
"613" "K76K6" 48 3 1206051205
"614" "K93K9" 232 3 1208021208
"615" "KJQKQ" 894 3 1210111211
"616" "KK66Q" 377 3 1212050511
"617" "KK686" 771 3 1212050705
"618" "KA22K" 31 3 1213010112
"619" "KAJKJ" 924 3 1213101210
"620" "KAAJK" 634 3 1213131012
"621" "A22AK" 50 3 1301011312
"622" "A447A" 931 3 1303030613
"623" "A44A5" 145 3 1303031304
"624" "A6AT6" 71 3 1305130905
"625" "ATATQ" 895 3 1309130911
"626" "AJTAT" 144 3 1310091309
"627" "AA636" 250 3 1313050205
"628" "AA9T9" 481 3 1313080908
"629" "AAKK2" 680 3 1313121201
"630" "22267" 417 4 101010506
"631" "22J62" 428 4 101100501
"632" "22Q82" 57 4 101110701
"633" "23272" 415 4 102010601
"634" "23J33" 612 4 102100202
"635" "25229" 614 4 104010108
"636" "252J2" 814 4 104011001
"637" "2J922" 315 4 110080101
"638" "2Q7QQ" 828 4 111061111
"639" "2QQ8Q" 569 4 111110711
"640" "2K522" 149 4 112040101
"641" "32242" 202 4 201010301
"642" "32633" 911 4 201050202
"643" "33238" 812 4 202010207
"644" "333J6" 519 4 202021005
"645" "33732" 630 4 202060201
"646" "33T38" 168 4 202090207
"647" "33J3K" 293 4 202100212
"648" "373Q3" 791 4 206021102
"649" "38K88" 806 4 207120707
"650" "3QQQJ" 366 4 211111110
"651" "3A3K3" 231 4 213021202
"652" "42822" 304 4 301070101
"653" "43AAA" 914 4 302131313
"654" "444J3" 690 4 303031002
"655" "44JK4" 472 4 303101203
"656" "44Q45" 504 4 303110304
"657" "48Q88" 1000 4 307110707
"658" "49446" 412 4 308030305
"659" "499J9" 87 4 308081008
"660" "53222" 889 4 402010101
"661" "552K5" 182 4 404011204
"662" "5565J" 484 4 404050410
"663" "557J5" 167 4 404061004
"664" "56646" 367 4 405050305
"665" "57QQQ" 277 4 406111111
"666" "58955" 739 4 407080404
"667" "5T333" 91 4 409020202
"668" "5TT8T" 134 4 409090709
"669" "5J333" 927 4 410020202
"670" "5K8KK" 195 4 412071212
"671" "5KK6K" 68 4 412120512
"672" "63888" 818 4 502070707
"673" "65552" 738 4 504040401
"674" "65662" 909 4 504050501
"675" "66496" 944 4 505030805
"676" "66637" 58 4 505050206
"677" "6664K" 337 4 505050312
"678" "6665Q" 700 4 505050411
"679" "666AT" 811 4 505051309
"680" "66865" 708 4 505070504
"681" "6686J" 14 4 505070510
"682" "66JA6" 381 4 505101305
"683" "66A86" 64 4 505130705
"684" "6777K" 725 4 506060612
"685" "696A6" 542 4 508051305
"686" "6JJJ9" 506 4 510101008
"687" "6QT66" 171 4 511090505
"688" "6QQQ3" 399 4 511111102
"689" "6QA66" 840 4 511130505
"690" "6A5AA" 110 4 513041313
"691" "73747" 973 4 602060306
"692" "74484" 829 4 603030703
"693" "74J44" 813 4 603100303
"694" "74K44" 128 4 603120303
"695" "75565" 141 4 604040504
"696" "75A55" 562 4 604130404
"697" "7757T" 385 4 606040609
"698" "778A7" 411 4 606071306
"699" "77J79" 786 4 606100608
"700" "77JQ7" 596 4 606101106
"701" "79772" 65 4 608060601
"702" "79T77" 581 4 608090606
"703" "7TT6T" 837 4 609090509
"704" "7J477" 105 4 610030606
"705" "7K797" 407 4 612060806
"706" "7K7Q7" 275 4 612061106
"707" "7AA2A" 305 4 613130113
"708" "7AAKA" 684 4 613131213
"709" "833A3" 290 4 702021302
"710" "8388T" 926 4 702070709
"711" "84244" 958 4 703010303
"712" "85535" 601 4 704040204
"713" "85K88" 331 4 704120707
"714" "86667" 892 4 705050506
"715" "88783" 520 4 707060702
"716" "887A8" 997 4 707061307
"717" "888A6" 584 4 707071305
"718" "88JQ8" 344 4 707101107
"719" "8T88Q" 29 4 709070711
"720" "8T8K8" 576 4 709071207
"721" "8TT9T" 508 4 709090809
"722" "8J444" 917 4 710030303
"723" "8JT88" 571 4 710090707
"724" "8Q886" 93 4 711070705
"725" "8KJKK" 267 4 712101212
"726" "8KKTK" 448 4 712120912
"727" "93233" 521 4 802010202
"728" "93334" 792 4 802020203
"729" "94222" 564 4 803010101
"730" "94299" 358 4 803010808
"731" "95355" 797 4 804020404
"732" "97737" 161 4 806060206
"733" "97Q99" 26 4 806110808
"734" "98979" 230 4 807080608
"735" "9993Q" 991 4 808080211
"736" "99974" 590 4 808080603
"737" "999T7" 999 4 808080906
"738" "999A5" 559 4 808081304
"739" "999A6" 156 4 808081305
"740" "9J899" 535 4 810070808
"741" "9J993" 281 4 810080802
"742" "9Q949" 636 4 811080308
"743" "T4449" 342 4 903030308
"744" "T444A" 594 4 903030313
"745" "T4T9T" 831 4 903090809
"746" "T6T3T" 241 4 905090209
"747" "TT35T" 591 4 909020409
"748" "TT56T" 518 4 909040509
"749" "TT5T9" 420 4 909040908
"750" "TTTK8" 44 4 909091207
"751" "TTQJT" 912 4 909111009
"752" "TJT3T" 447 4 910090209
"753" "TJTT9" 425 4 910090908
"754" "TJATT" 936 4 910130909
"755" "TQQQK" 746 4 911111112
"756" "TKTTJ" 502 4 912090910
"757" "TA6AA" 987 4 913051313
"758" "TAAA9" 588 4 913131308
"759" "J2223" 704 4 1001010102
"760" "J22A2" 15 4 1001011301
"761" "J2422" 527 4 1001030101
"762" "J2888" 744 4 1001070707
"763" "J3J5J" 370 4 1002100410
"764" "J3Q33" 830 4 1002110202
"765" "J4AAA" 935 4 1003131313
"766" "J55K5" 264 4 1004041204
"767" "J58JJ" 19 4 1004071010
"768" "J5955" 667 4 1004080404
"769" "J6266" 876 4 1005010505
